filename,ship_id,ship_type,ais_timestamp,sog,cog,true_heading
train_000001.wav,105,D_LargeShip,2020-08-03 23:59:37.477000+00:00,0.2000000029802322,43.29999923706055,157
train_000002.wav,277,A_SmallWorking,2020-11-01 23:59:52.775000+00:00,0.1000000014901161,258.8999938964844,0
train_000003.wav,3,A_SmallWorking,2020-08-14 23:59:58.296000+00:00,0.0,357.0,357
train_000004.wav,43,B_MotorBoat,2020-07-20 23:58:10.168000+00:00,0.2000000029802322,51.400001525878906,0
train_000005.wav,215,D_LargeShip,2020-07-30 23:57:39.956000+00:00,0.0,20.39999961853028,19
train_000006.wav,205,A_SmallWorking,2020-08-13 23:59:57.290000+00:00,6.099999904632568,136.60000610351562,0
train_000007.wav,11,D_LargeShip,2020-07-24 23:58:30.026000+00:00,0.0,0.0,0
train_000008.wav,190,A_SmallWorking,2020-12-22 23:49:12.296000+00:00,0.0,0.0,0
train_000009.wav,256,B_MotorBoat,2021-01-24 23:58:45.668000+00:00,0.0,57.900001525878906,0
train_000010.wav,136,A_SmallWorking,2020-08-22 16:51:46.119000+00:00,0.0,155.60000610351562,0
train_000011.wav,128,C_Passenger,2020-08-26 23:59:50.838000+00:00,19.299999237060547,249.6999969482422,251
train_000012.wav,97,D_LargeShip,2020-07-30 23:58:17.955000+00:00,0.0,249.6999969482422,69
train_000013.wav,30,A_SmallWorking,2020-09-22 23:59:58.932000+00:00,0.0,345.20001220703125,324
train_000014.wav,319,A_SmallWorking,2020-09-26 23:59:53.893000+00:00,0.1000000014901161,353.8999938964844,0
train_000015.wav,240,B_MotorBoat,2020-07-23 23:57:39.956000+00:00,0.0,360.0,0
train_000016.wav,243,A_SmallWorking,2020-07-23 23:59:56.942000+00:00,7.5,124.3000030517578,0
train_000017.wav,15,D_LargeShip,2020-07-20 23:58:03.932000+00:00,0.0,0.0,0
train_000018.wav,215,D_LargeShip,2020-07-23 23:58:59.960000+00:00,0.0,0.0,0
train_000019.wav,66,D_LargeShip,2020-07-27 23:59:51.382000+00:00,0.0,262.0,296
train_000020.wav,143,C_Passenger,2020-10-24 23:59:58.134000+00:00,0.0,227.5,0
train_000021.wav,141,A_SmallWorking,2020-11-10 23:59:58.219000+00:00,0.0,315.79998779296875,0
train_000022.wav,258,B_MotorBoat,2021-01-07 23:37:14.457000+00:00,0.0,360.0,0
train_000023.wav,333,A_SmallWorking,2020-09-22 23:54:34.053000+00:00,0.0,129.3000030517578,0
train_000024.wav,254,A_SmallWorking,2020-08-11 23:55:54.010000+00:00,0.1000000014901161,347.8999938964844,356
train_000025.wav,201,C_Passenger,2020-09-06 23:57:57.665000+00:00,0.0,360.0,0
train_000026.wav,62,C_Passenger,2020-11-25 23:59:59.842000+00:00,0.0,249.3000030517578,32
train_000027.wav,15,D_LargeShip,2020-07-16 23:58:56.333000+00:00,0.0,0.0,0
